InputID,TargetID,Distance
1501,"0410720152",29631.9687265131
1502,"0410720152",30780.4166947823
1504,"0410720152",30085.4748169473
1505,"0410720152",33315.8415213744
6105,"0411103707",1702.15627539194
6106,"0411102563",1827.94122745046
6107,"0411102563",2072.14053132448
6108,"0411103707",923.26889522199
6109,"0411103286",1112.45859037987
6110,"0411103306",1755.4162679285
6112,"0411103176",2942.67407992217
6113,"0411103286",2024.63071621061
6114,"0411103287",1904.79216314971
7466,"0410720152",30085.4748169473
8662,"0410720152",29946.5165260026
9067,"0403520005",33664.436841426
10336,"0410720152",30029.4517809303
11527,"0410720152",30780.4166947823
13587,"0411103286",2024.63071621061
60000103278,"0403726339",6704.86274880559
60000106294,"0403726384",2059.50755576698
60000107534,"0403705236",7512.74573358047
60000109444,"0403726339",8639.06901749027
60000113717,"0403707603",1024.87605180628
60000210346,"0400100007",17470.1879911651
60000310347,"0400100007",17873.8009211912
60000608773,"0401300310",40924.1700402698
60000608774,"0401300310",42071.135250594
60000608775,"0401300310",39400.3746744379
60000608776,"0401300310",38547.217411001
60000612911,"0401300310",39198.9173993957
60000710348,"0406500063",5783.39713022044
60000901478,"0408321695",8917.71863670981
60000908779,"0408303373",4572.63078703595
60000908780,"0408321695",7737.29475681686
60001109064,"0403520005",23627.2153496199
60001109065,"0403520005",23626.4815577211
60001109066,"0403520005",23628.0625261445
60001109068,"0403520005",23843.306433459
60001111292,"0403520005",23733.6019307667
60001112763,"0403520005",23835.7240416322
60001206852,"0411520004",63189.1835257237
60001209206,"0411520004",48302.157063676
60001300805,"0410100098",26721.8115020344
60001302405,"0410100098",26646.5738601374
60001303571,"0410100098",25854.925369139
60001306176,"0410100098",26334.6255644704
60001306197,"0410100098",26334.6255644704
60001308256,"0410100098",25561.2514679028
60001308257,"0410100098",25869.8917190759
60001308553,"0410100098",27738.2316450049
60001308762,"0410100098",23792.0303149952
60001308763,"0410100098",27570.6223204585
60001308764,"0410100098",30427.9921331228
60001309069,"0410100098",26899.5596036164
60001309070,"0410100098",29030.1385416457
60001310270,"0410100098",25675.9479191652
60001310575,"0410100098",24475.9536875294
60001311009,"0410100098",23791.2518894364
60001311010,"0410100098",23317.748576195
60001312012,"0410100098",28925.7823590071
60001312302,"0410100098",27298.9249445161
60001312558,"0410100098",23561.4955903253
60001313722,"0410100098",26401.1860552707
60001403904,"0407100073",3758.32391323295
60001405093,"0407100073",3922.85885160617
60001407287,"0407100073",5037.53993518967
60001407295,"0407100073",3091.51182858078
60001408296,"0407100073",4902.92572802399
60001409072,"0407100073",3151.163399633
60001409073,"0407100073",4969.57683888897
60001409074,"0407100073",3350.89890516659
60001409075,"0407100073",4657.86734441731
60001409076,"0407100073",4704.05819860835
60001409077,"0407100073",3442.93782916736
60001409078,"0407100073",2324.32132036682
60001409079,"0407100073",5402.73063602387
60001409080,"0407100073",4537.9353405184
60001409081,"0407100073",1041.42007895747
60001409082,"0407100073",3077.38195986135
60001409476,"0407100073",8129.64244937605
60001409477,"0407100073",8108.38307796814
60001409676,"0407100073",5227.85707450396
60001410617,"0407100073",9332.54147227738
60001411118,"0407100073",5010.00587659661
60001411119,"0407100073",3606.60522407166
60001411746,"0407100073",2241.8749762137
60001411899,"0407100073",3510.36671973987
