GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6023010400,402300093,6.24E+10,Dows Prairie Elementary School,e,5,0.553,445,0.689873,0.0147679,0.0654008,0.02531641,0.0907173,0.101266,5001.887,16410.39,0.8446797,0.007723112,0.006864989,0.1061213,0.8972738,0.3145002,NA,0.1229179,0.4
6023010501,402320028,6.03E+10,Mckinleyville High School,h,6,0.355,618,0.69544,0.0114007,0.0781759,0.01302932,0.105863,0.0912052,6395.452,20982.46,0.8275509,0.01677122,0.01229036,0.1179106,0.8800152,0.2479559,NA,0.1545042,0.7197232
6023010501,402320028,6.24E+10,Mckinleyville Middle School,m,7,0.424,376,0.660526,0.0131579,0.110526,0.0131579,0.102632,0.0947368,5479.14,17976.18,0.8275509,0.01677122,0.01229036,0.1179106,0.8800152,0.2479559,NA,0.1545042,0.7197232
6023010501,402320028,60303007262,Tsurai High (Continuation) School,h,1,0.714,34,0.457143,NA,0.0857143,NA,0.0285714,0.142857,6395.452,20982.46,0.8275509,0.01677122,0.01229036,0.1179106,0.8800152,0.2479559,NA,0.1545042,0.7197232
6023010501,402320028,6.24E+10,Morris Elementary School,e,7,0.492,310,0.615385,0.00923077,0.196923,0.0153846,0.0646154,0.0984615,5416.619,17771.06,0.8275509,0.01677122,0.01229036,0.1179106,0.8800152,0.2479559,NA,0.1545042,0.7197232
6023010600,402320074,6.15E+10,Garfield Elementary School,"e,m",8,0.222,61,0.851852,NA,0.0925926,0.0185185,0.0185185,0.0185185,16092.17,52795.85,0.9011567,0,0.01419558,0.07518402,0.9346769,0.3509381,33229,0.05625657,0.625
6023010700,402320055,63735012891,South Bay Charter,"e,m",NA,NA,68,NA,NA,NA,NA,NA,NA,675.1152,2214.945,0.8551964,0.01282394,0.05543682,0.1196901,0.8555766,0.2040902,NA,0.1506641,0.9124088
6023010700,402320037,63735006314,South Bay Elementary School,"e,m",5,0.683,174,0.546584,0.0124224,0.204969,0.0993788,0.0993789,0.0372671,224.0463,735.0599,0.8551964,0.01282394,0.05543682,0.1196901,0.8555766,0.2040902,NA,0.1506641,0.9124088
6023010700,402300088,61419010801,Academy Of The Redwoods,h,9,0.446,241,0.636905,0.00595238,0.154762,0.09523808,0.0238095,0.0833333,1406.196,4613.503,0.8551964,0.01282394,0.05543682,0.1196901,0.8555766,0.2040902,NA,0.1506641,0.9124088
6023010700,402300087,6.10E+10,Ridgewood Elementary School,e,7,0.492,257,0.611538,NA,0.188462,0.03461541,0.126923,0.0384615,3960.612,12994.13,0.8551964,0.01282394,0.05543682,0.1196901,0.8555766,0.2040902,NA,0.1506641,0.9124088
6023010800,402320090,6.14E+10,Fortuna Union High School,h,6,0.459,836,0.675355,0.00473934,0.227488,0.00829384,0.042654,0.0414692,3149.247,10332.17,0.8455709,0.01149726,0.006009929,0.1175856,0.876758,0.2205773,NA,0.1998429,0.4505495
6023010800,402320090,6.14E+10,East High (Continuation) School,h,3,0.706,74,0.541176,0.0235294,0.258824,0.0235294,NA,0.152941,3037.06,9964.107,0.8455709,0.01149726,0.006009929,0.1175856,0.876758,0.2205773,NA,0.1998429,0.4505495
6023010800,402300081,6.14E+10,Fortuna Middle,m,NA,NA,209,NA,NA,NA,NA,NA,NA,2684.172,8806.339,0.8455709,0.01149726,0.006009929,0.1175856,0.876758,0.2205773,NA,0.1998429,0.4505495
6023010800,402300081,6.01E+10,Fortuna Middle School,m,4,0.758,NA,0.563492,0.015873,0.384921,0.00793651,0.015873,0.0119048,2762.54,9063.45,0.8455709,0.01149726,0.006009929,0.1175856,0.876758,0.2205773,NA,0.1998429,0.4505495
6023010800,402300007,6.22E+10,Loleta Elementary School,"e,m",2,0.946,83,0.196429,NA,0.294643,NA,0.0357143,0.205357,1647.415,5404.906,0.8455709,0.01149726,0.006009929,0.1175856,0.876758,0.2205773,NA,0.1998429,0.4505495
6023010901,402300035,69100910793,Eel River Community School,"m,h",3,0.871,62,0.645161,NA,0.0806452,NA,0.16129,0.112903,3618.182,11870.68,0.7505494,0.005054945,0.01626374,0.2527473,0.847281,0.1276457,NA,0.1941507,0.7728938
6023010901,402320031,60142005171,Norman G. Ambrosini Elementary School,e,2,0.575,NA,0.651341,0.0153257,0.233716,0.01149426,0.045977,0.0421456,3595.17,11795.18,0.7505494,0.005054945,0.01626374,0.2527473,0.847281,0.1276457,NA,0.1941507,0.7728938
