Year, Month, Monthly MRSL in meters
1944,3,-0.156
1944,4,-0.127
1944,5,-0.152
1944,6,-0.078
1944,7,-0.091
1944,8,-0.094
1944,9,-0.097
1944,10,-0.1
1944,11,0.04
1944,12,-0.121
1945,1,-0.062
1945,2,-0.082
1945,3,-0.043
1945,4,-0.084
1945,5,-0.018
1945,6,-0.047
1945,7,-0.082
1945,8,-0.076
1945,9,-0.085
1945,10,-0.082
1945,11,0.015
1945,12,0.046
1946,1,-0.083
1946,2,-0.07
1946,3,-0.077
1946,4,-0.048
1946,5,-0.082
1946,6,-0.114
1946,7,-0.113
1946,8,-0.043
1946,9,-0.088
1946,10,-0.088
1946,11,-0.088
1946,12,-0.103
1947,1,-0.104
1947,2,-0.033
1947,3,-0.01
1947,4,-0.121
1947,5,-0.07
1947,6,-0.053
1947,7,-0.073
1947,8,-0.091
1947,9,-0.1
1947,10,-0.137
1947,11,0.021
1947,12,-0.106
1948,1,-0.086
1948,2,-0.094
1948,3,-0.083
1948,4,-0.121
1948,5,-0.043
1948,6,-0.035
1948,7,-0.027
1948,8,-0.073
1948,9,-0.085
1948,10,-0.03
1948,11,-0.073
1948,12,-0.015
1949,1,-0.074
1949,2,-0.103
1949,3,-0.122
1949,4,-0.087
1949,5,-0.104
1949,6,-0.154
1949,7,-0.107
1949,8,-0.079
1949,9,-0.131
1949,10,-0.125
1949,11,-0.07
1949,12,-0.201
1950,1,-0.159
1950,2,-0.113
1950,3,-0.205
1950,4,-0.13
1950,5,-0.201
1950,6,-0.172
1950,7,-0.125
1950,8,-0.11
1950,9,-0.049
1950,10,-0.091
1950,11,-0.009
1950,12,-0.018
1951,1,-0.065
1951,2,-0.088
1951,3,0.012
1951,4,-0.063
1951,5,-0.015
1951,6,-0.041
1951,7,-0.082
1951,8,-0.064
1951,9,-0.079
1951,10,-0.067
1951,11,-0.067
1951,12,-0.091
1952,1,-0.056
1952,2,-0.009
1952,3,-0.031
1952,4,-0.091
1952,5,-0.006
1952,6,-0.09
1952,7,-0.119
1952,8,-0.122
1952,9,-0.103
1952,10,-0.146
1952,11,-0.097
1952,12,-0.027
1953,1,0.002
1953,2,-0.106
1953,3,-0.055
1953,4,-0.039
1953,5,-0.036
1953,6,-0.102
1953,7,-0.107
1953,8,-0.085
1953,9,-0.113
1953,10,-0.091
1953,11,-0.073
1953,12,-0.106
1954,1,-0.05
1954,2,-0.033
1954,3,-0.077
1954,4,-0.17
1954,5,-0.049
1954,6,-0.069
1954,7,-0.091
1954,8,-0.079
1954,9,-0.088
1954,10,-0.061
1954,11,-0.085
1954,12,-0.073
1955,1,-0.01
1955,2,-0.116
1955,3,-0.107
1955,4,-0.005
1955,5,-0.07
1955,6,-0.057
1955,7,-0.103
1955,8,-0.049
1955,9,-0.131
1955,10,-0.042
1955,11,-0.046
1955,12,-0.152
1956,1,0.024
1956,2,-0.106
1956,3,-0.043
1956,4,-0.063
1956,5,-0.14
1956,6,-0.084
1956,7,-0.082
1956,8,-0.046
1956,9,-0.064
1956,10,-0.106
1956,11,-0.076
1956,12,-0.07
1957,1,-0.153
1957,2,-0.116
1957,3,-0.052
1957,4,-0.167
1957,5,-0.091
1957,6,-0.111
1957,7,-0.082
1957,8,-0.116
1957,9,-0.134
1957,10,-0.085
1957,11,-0.076
1957,12,-0.118
1958,1,0.057
1958,2,0.016
1958,3,0.115
1958,4,0.025
1958,5,-0.094
1958,6,-0.096
1958,7,-0.073
1958,8,-0.091
1958,9,-0.061
